Function,Threads,Time(s),FLOP/s,Memory(Bytes)
linear_layer_omp,465,0.035244,22849467749.00,29458432
linear_layer_omp,466,0.013144,61267907138.18,29458432
linear_layer_omp,467,0.015822,50898100125.49,29458432
linear_layer_omp,468,0.013960,57686194055.43,29458432
linear_layer_omp,469,0.015445,52140283733.31,29458432
linear_layer_omp,470,0.015775,51049644381.89,29458432
linear_layer_omp,471,0.013924,57835343319.20,29458432
linear_layer_omp,472,0.015633,51512882728.81,29458432
linear_layer_omp,473,0.015066,53451381828.84,29458432
linear_layer_omp,474,0.012357,65170073135.27,29458432
linear_layer_omp,475,0.015444,52143503412.14,29458432
linear_layer_omp,476,0.012405,64918310984.58,29458432
linear_layer_omp,477,0.017546,45897024452.43,29458432
linear_layer_omp,478,0.013952,57719710188.62,29458432
linear_layer_omp,479,0.016901,47648399172.33,29458432
linear_layer_omp,480,0.013859,58106964174.99,29458432
linear_layer_omp,481,0.012346,65227965172.51,29458432
linear_layer_omp,482,0.017148,46962067189.36,29458432
linear_layer_omp,483,0.013943,57757215514.92,29458432
linear_layer_omp,484,0.014198,56719445862.00,29458432
linear_layer_omp,485,0.014159,56876079285.50,29458432
linear_layer_omp,486,0.012433,64771414445.96,29458432
linear_layer_omp,487,0.019145,42064032186.30,29458432
linear_layer_omp,488,0.014111,57069234625.21,29458432
linear_layer_omp,489,0.015613,51578959174.91,29458432
linear_layer_omp,490,0.015632,51516811111.54,29458432
linear_layer_omp,491,0.013986,57579988757.91,29458432
linear_layer_omp,492,0.015536,51835421265.89,29458432
linear_layer_omp,493,0.017564,45849675175.83,29458432
linear_layer_omp,494,0.014141,56947999064.74,29458432
linear_layer_omp,495,0.015033,53569215113.13,29458432
linear_layer_omp,496,0.013935,57789825494.93,29458432
linear_layer_omp,497,0.017520,45965104247.56,29458432
linear_layer_omp,498,0.016031,50234982012.07,29458432
linear_layer_omp,499,0.012866,62591722639.68,29458432
linear_layer_omp,500,0.014106,57089490755.14,29458432
